bnet,method,run,rmsd,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,0.11748355580895091,1024,2,asynchronous
n010_000.bnet,null_mc,,0.15076390645874893,1024,2,asynchronous
n010_000.bnet,ref,,0.35032806837406333,1024,2,asynchronous
n010_000.bnet,random_mc,0.0,0.15021099244436878,1024,2,asynchronous
n010_000.bnet,random_mc,1.0,0.1516120036256663,1024,2,asynchronous
n010_000.bnet,random_mc,2.0,0.15077898996054728,1024,2,asynchronous
n010_000.bnet,random_mc,3.0,0.15055504689924312,1024,2,asynchronous
n010_000.bnet,random_mc,4.0,0.15111285781928074,1024,2,asynchronous
n010_000.bnet,random_mc,5.0,0.15020564064960765,1024,2,asynchronous
n010_000.bnet,random_mc,6.0,0.15083525207420542,1024,2,asynchronous
n010_000.bnet,random_mc,7.0,0.15078480641045444,1024,2,asynchronous
n010_000.bnet,random_mc,8.0,0.15090121171270332,1024,2,asynchronous
n010_000.bnet,random_mc,9.0,0.14987920942546595,1024,2,asynchronous
n010_000.bnet,random_mc,10.0,0.15104949139332646,1024,2,asynchronous
n010_000.bnet,random_mc,11.0,0.15188860710297075,1024,2,asynchronous
n010_000.bnet,random_mc,12.0,0.1510182870543422,1024,2,asynchronous
n010_000.bnet,random_mc,13.0,0.1497075552992089,1024,2,asynchronous
n010_000.bnet,random_mc,14.0,0.15186201805877855,1024,2,asynchronous
n010_000.bnet,random_mc,15.0,0.15002284111814018,1024,2,asynchronous
n010_000.bnet,random_mc,16.0,0.15070480843116862,1024,2,asynchronous
n010_000.bnet,random_mc,17.0,0.15071697492078168,1024,2,asynchronous
n010_000.bnet,random_mc,18.0,0.15005420438087344,1024,2,asynchronous
n010_000.bnet,random_mc,19.0,0.1513821897850328,1024,2,asynchronous
n010_000.bnet,random_mc,20.0,0.15047563788989443,1024,2,asynchronous
n010_000.bnet,random_mc,21.0,0.15089494194075692,1024,2,asynchronous
n010_000.bnet,random_mc,22.0,0.15091790132795332,1024,2,asynchronous
n010_000.bnet,random_mc,23.0,0.15100031851459866,1024,2,asynchronous
n010_000.bnet,random_mc,24.0,0.1503776589840926,1024,2,asynchronous
n010_000.bnet,random_mc,25.0,0.15120414822689088,1024,2,asynchronous
n010_000.bnet,random_mc,26.0,0.1510233752637187,1024,2,asynchronous
n010_000.bnet,random_mc,27.0,0.1505882022897356,1024,2,asynchronous
n010_000.bnet,random_mc,28.0,0.15018509252315831,1024,2,asynchronous
n010_000.bnet,random_mc,29.0,0.15033838590815285,1024,2,asynchronous
n010_001.bnet,sd_mc,,0.03314563036811941,64,5,asynchronous
n010_001.bnet,null_mc,,0.11943258379420271,64,5,asynchronous
n010_001.bnet,ref,,0.2334181858364225,64,5,asynchronous
n010_001.bnet,random_mc,0.0,0.11431234092332927,64,5,asynchronous
n010_001.bnet,random_mc,1.0,0.09983628455267031,64,5,asynchronous
n010_001.bnet,random_mc,2.0,0.1093269948593999,64,5,asynchronous
n010_001.bnet,random_mc,3.0,0.13500703253128993,64,5,asynchronous
n010_001.bnet,random_mc,4.0,0.10424665644553134,64,5,asynchronous
n010_001.bnet,random_mc,5.0,0.11657326981387747,64,5,asynchronous
n010_001.bnet,random_mc,6.0,0.123325854105151,64,5,asynchronous
n010_001.bnet,random_mc,7.0,0.10760881307798453,64,5,asynchronous
n010_001.bnet,random_mc,8.0,0.11745367501630621,64,5,asynchronous
n010_001.bnet,random_mc,9.0,0.13029568135654768,64,5,asynchronous
n010_001.bnet,random_mc,10.0,0.1401283354526966,64,5,asynchronous
n010_001.bnet,random_mc,11.0,0.13419911217275568,64,5,asynchronous
n010_001.bnet,random_mc,12.0,0.1197377599724943,64,5,asynchronous
n010_001.bnet,random_mc,13.0,0.11723796797176164,64,5,asynchronous
n010_001.bnet,random_mc,14.0,0.09369620271657209,64,5,asynchronous
n010_001.bnet,random_mc,15.0,0.12161849995378905,64,5,asynchronous
n010_001.bnet,random_mc,16.0,0.0987303789020462,64,5,asynchronous
n010_001.bnet,random_mc,17.0,0.14270357668393935,64,5,asynchronous
n010_001.bnet,random_mc,18.0,0.11001118797256408,64,5,asynchronous
n010_001.bnet,random_mc,19.0,0.11965599304784467,64,5,asynchronous
n010_001.bnet,random_mc,20.0,0.1100911552181241,64,5,asynchronous
n010_001.bnet,random_mc,21.0,0.12452795203328601,64,5,asynchronous
n010_001.bnet,random_mc,22.0,0.11135742421837258,64,5,asynchronous
n010_001.bnet,random_mc,23.0,0.11926768721033279,64,5,asynchronous
n010_001.bnet,random_mc,24.0,0.11681851320261843,64,5,asynchronous
n010_001.bnet,random_mc,25.0,0.08351312820539145,64,5,asynchronous
n010_001.bnet,random_mc,26.0,0.1291997772147287,64,5,asynchronous
n010_001.bnet,random_mc,27.0,0.12162237258877778,64,5,asynchronous
n010_001.bnet,random_mc,28.0,0.12607946043887105,64,5,asynchronous
n010_001.bnet,random_mc,29.0,0.1235395774603291,64,5,asynchronous
n010_004.bnet,sd_mc,,0.029055349959744365,512,4,asynchronous
n010_004.bnet,null_mc,,0.13066931602629592,512,4,asynchronous
n010_004.bnet,ref,,0.39542468417884,512,4,asynchronous
n010_004.bnet,random_mc,0.0,0.12777381063829985,512,4,asynchronous
n010_004.bnet,random_mc,1.0,0.12652787218263287,512,4,asynchronous
n010_004.bnet,random_mc,2.0,0.11808613431411534,512,4,asynchronous
n010_004.bnet,random_mc,3.0,0.1342047895191474,512,4,asynchronous
n010_004.bnet,random_mc,4.0,0.12736810509479535,512,4,asynchronous
n010_004.bnet,random_mc,5.0,0.13174859163400668,512,4,asynchronous
n010_004.bnet,random_mc,6.0,0.1313028911856716,512,4,asynchronous
n010_004.bnet,random_mc,7.0,0.12758609511774277,512,4,asynchronous
n010_004.bnet,random_mc,8.0,0.1206576418837222,512,4,asynchronous
n010_004.bnet,random_mc,9.0,0.13367868490717258,512,4,asynchronous
n010_004.bnet,random_mc,10.0,0.13383974709828805,512,4,asynchronous
n010_004.bnet,random_mc,11.0,0.14592074935355162,512,4,asynchronous
n010_004.bnet,random_mc,12.0,0.12966993245646252,512,4,asynchronous
n010_004.bnet,random_mc,13.0,0.12502314887552005,512,4,asynchronous
n010_004.bnet,random_mc,14.0,0.12143315814166894,512,4,asynchronous
n010_004.bnet,random_mc,15.0,0.13577621556522695,512,4,asynchronous
n010_004.bnet,random_mc,16.0,0.12806515852319927,512,4,asynchronous
n010_004.bnet,random_mc,17.0,0.13058383638686927,512,4,asynchronous
n010_004.bnet,random_mc,18.0,0.12364890175218085,512,4,asynchronous
n010_004.bnet,random_mc,19.0,0.12813737247928522,512,4,asynchronous
n010_004.bnet,random_mc,20.0,0.13905158843202423,512,4,asynchronous
n010_004.bnet,random_mc,21.0,0.13102318915371988,512,4,asynchronous
n010_004.bnet,random_mc,22.0,0.12634615832881865,512,4,asynchronous
n010_004.bnet,random_mc,23.0,0.1267623892232406,512,4,asynchronous
n010_004.bnet,random_mc,24.0,0.13109489152353584,512,4,asynchronous
n010_004.bnet,random_mc,25.0,0.1375363568967452,512,4,asynchronous
n010_004.bnet,random_mc,26.0,0.1263222171122762,512,4,asynchronous
n010_004.bnet,random_mc,27.0,0.13695662333395817,512,4,asynchronous
n010_004.bnet,random_mc,28.0,0.11947028849686599,512,4,asynchronous
n010_004.bnet,random_mc,29.0,0.13831083920882262,512,4,asynchronous
n010_006.bnet,sd_mc,,0.02708608193875193,1024,2,asynchronous
n010_006.bnet,null_mc,,0.0641543402573029,1024,2,asynchronous
n010_006.bnet,ref,,0.42322072181528375,1024,2,asynchronous
n010_006.bnet,random_mc,0.0,0.07187532580408441,1024,2,asynchronous
n010_006.bnet,random_mc,1.0,0.06866544405108092,1024,2,asynchronous
n010_006.bnet,random_mc,2.0,0.0661867051074736,1024,2,asynchronous
n010_006.bnet,random_mc,3.0,0.06925396007872911,1024,2,asynchronous
n010_006.bnet,random_mc,4.0,0.06718225373582055,1024,2,asynchronous
n010_006.bnet,random_mc,5.0,0.06310125605244361,1024,2,asynchronous
n010_006.bnet,random_mc,6.0,0.07167981018453093,1024,2,asynchronous
n010_006.bnet,random_mc,7.0,0.06195947110894735,1024,2,asynchronous
n010_006.bnet,random_mc,8.0,0.05704781181617062,1024,2,asynchronous
n010_006.bnet,random_mc,9.0,0.07293621705754043,1024,2,asynchronous
n010_006.bnet,random_mc,10.0,0.06649125521924878,1024,2,asynchronous
n010_006.bnet,random_mc,11.0,0.061393511340406,1024,2,asynchronous
n010_006.bnet,random_mc,12.0,0.04096631894049793,1024,2,asynchronous
n010_006.bnet,random_mc,13.0,0.06406403602684717,1024,2,asynchronous
n010_006.bnet,random_mc,14.0,0.06160205179119999,1024,2,asynchronous
n010_006.bnet,random_mc,15.0,0.06660577780216762,1024,2,asynchronous
n010_006.bnet,random_mc,16.0,0.06253998226499939,1024,2,asynchronous
n010_006.bnet,random_mc,17.0,0.0688552022480729,1024,2,asynchronous
n010_006.bnet,random_mc,18.0,0.05833408751181459,1024,2,asynchronous
n010_006.bnet,random_mc,19.0,0.06672201605582227,1024,2,asynchronous
n010_006.bnet,random_mc,20.0,0.0676162970159142,1024,2,asynchronous
n010_006.bnet,random_mc,21.0,0.05830746824135686,1024,2,asynchronous
n010_006.bnet,random_mc,22.0,0.0677177081753887,1024,2,asynchronous
n010_006.bnet,random_mc,23.0,0.06301931954701934,1024,2,asynchronous
n010_006.bnet,random_mc,24.0,0.04992076830233264,1024,2,asynchronous
n010_006.bnet,random_mc,25.0,0.06733979228676322,1024,2,asynchronous
n010_006.bnet,random_mc,26.0,0.06236053684428498,1024,2,asynchronous
n010_006.bnet,random_mc,27.0,0.06608849371591108,1024,2,asynchronous
n010_006.bnet,random_mc,28.0,0.06704760737298793,1024,2,asynchronous
n010_006.bnet,random_mc,29.0,0.06323698794871882,1024,2,asynchronous
n010_007.bnet,sd_mc,,0.008048006239471921,512,2,asynchronous
n010_007.bnet,null_mc,,0.005875262714779811,512,2,asynchronous
n010_007.bnet,ref,,0.4423630873986149,512,2,asynchronous
n010_007.bnet,random_mc,0.0,0.003553662495104093,512,2,asynchronous
n010_007.bnet,random_mc,1.0,0.001870994359187105,512,2,asynchronous
n010_007.bnet,random_mc,2.0,0.009512806668510456,512,2,asynchronous
n010_007.bnet,random_mc,3.0,0.005683279134441467,512,2,asynchronous
n010_007.bnet,random_mc,4.0,0.0043340733548075765,512,2,asynchronous
n010_007.bnet,random_mc,5.0,0.011298500608151877,512,2,asynchronous
n010_007.bnet,random_mc,6.0,0.013134934541220413,512,2,asynchronous
n010_007.bnet,random_mc,7.0,0.006108216370947869,512,2,asynchronous
n010_007.bnet,random_mc,8.0,0.0053298805753227525,512,2,asynchronous
n010_007.bnet,random_mc,9.0,0.0005857213691614523,512,2,asynchronous
n010_007.bnet,random_mc,10.0,0.004667396083654144,512,2,asynchronous
n010_007.bnet,random_mc,11.0,0.002079579077819347,512,2,asynchronous
n010_007.bnet,random_mc,12.0,0.0012483299575953332,512,2,asynchronous
n010_007.bnet,random_mc,13.0,0.004042524667969016,512,2,asynchronous
n010_007.bnet,random_mc,14.0,0.0037302739140658587,512,2,asynchronous
n010_007.bnet,random_mc,15.0,0.0011837939755411822,512,2,asynchronous
n010_007.bnet,random_mc,16.0,0.0045024568814137625,512,2,asynchronous
n010_007.bnet,random_mc,17.0,0.0011920423404277792,512,2,asynchronous
n010_007.bnet,random_mc,18.0,0.006102360202156228,512,2,asynchronous
n010_007.bnet,random_mc,19.0,0.020476259734056066,512,2,asynchronous
n010_007.bnet,random_mc,20.0,0.006994680142854969,512,2,asynchronous
n010_007.bnet,random_mc,21.0,0.012777843624240528,512,2,asynchronous
n010_007.bnet,random_mc,22.0,0.004831603995643941,512,2,asynchronous
n010_007.bnet,random_mc,23.0,0.00023186599495596898,512,2,asynchronous
n010_007.bnet,random_mc,24.0,0.004403019884726911,512,2,asynchronous
n010_007.bnet,random_mc,25.0,0.02274597023718967,512,2,asynchronous
n010_007.bnet,random_mc,26.0,0.00455653961609422,512,2,asynchronous
n010_007.bnet,random_mc,27.0,0.007829864575418082,512,2,asynchronous
n010_007.bnet,random_mc,28.0,0.003847267705623828,512,2,asynchronous
n010_007.bnet,random_mc,29.0,0.006343251553973022,512,2,asynchronous
n010_008.bnet,sd_mc,,0.11775264121708982,256,3,asynchronous
n010_008.bnet,null_mc,,0.21553321612499166,256,3,asynchronous
n010_008.bnet,ref,,0.22383884665725637,256,3,asynchronous
n010_008.bnet,random_mc,0.0,0.2148494654952165,256,3,asynchronous
n010_008.bnet,random_mc,1.0,0.21535583578411213,256,3,asynchronous
n010_008.bnet,random_mc,2.0,0.21343830814714576,256,3,asynchronous
n010_008.bnet,random_mc,3.0,0.21661485646808956,256,3,asynchronous
n010_008.bnet,random_mc,4.0,0.21381239759109125,256,3,asynchronous
n010_008.bnet,random_mc,5.0,0.21563393112756057,256,3,asynchronous
n010_008.bnet,random_mc,6.0,0.21555448957391649,256,3,asynchronous
n010_008.bnet,random_mc,7.0,0.21524252039221367,256,3,asynchronous
n010_008.bnet,random_mc,8.0,0.21327030908905617,256,3,asynchronous
n010_008.bnet,random_mc,9.0,0.21465152620046524,256,3,asynchronous
n010_008.bnet,random_mc,10.0,0.21477960217184505,256,3,asynchronous
n010_008.bnet,random_mc,11.0,0.21555214815395005,256,3,asynchronous
n010_008.bnet,random_mc,12.0,0.21515311919082142,256,3,asynchronous
n010_008.bnet,random_mc,13.0,0.2150292236321688,256,3,asynchronous
n010_008.bnet,random_mc,14.0,0.21537331237092652,256,3,asynchronous
n010_008.bnet,random_mc,15.0,0.21372320811775314,256,3,asynchronous
n010_008.bnet,random_mc,16.0,0.2155943856461591,256,3,asynchronous
n010_008.bnet,random_mc,17.0,0.21556020808415466,256,3,asynchronous
n010_008.bnet,random_mc,18.0,0.2152982281763381,256,3,asynchronous
n010_008.bnet,random_mc,19.0,0.2158706369042957,256,3,asynchronous
n010_008.bnet,random_mc,20.0,0.21577973341483664,256,3,asynchronous
n010_008.bnet,random_mc,21.0,0.21557582350311053,256,3,asynchronous
n010_008.bnet,random_mc,22.0,0.21484988636102384,256,3,asynchronous
n010_008.bnet,random_mc,23.0,0.2173681327000292,256,3,asynchronous
n010_008.bnet,random_mc,24.0,0.21572880445094952,256,3,asynchronous
n010_008.bnet,random_mc,25.0,0.2141252231170821,256,3,asynchronous
n010_008.bnet,random_mc,26.0,0.21337966579364664,256,3,asynchronous
n010_008.bnet,random_mc,27.0,0.2152510716695272,256,3,asynchronous
n010_008.bnet,random_mc,28.0,0.2160918684778165,256,3,asynchronous
n010_008.bnet,random_mc,29.0,0.21466958630839209,256,3,asynchronous
n010_009.bnet,sd_mc,,0.2515701821621405,256,2,asynchronous
n010_009.bnet,null_mc,,0.3120888984268606,256,2,asynchronous
n010_009.bnet,ref,,0.3361977093439348,256,2,asynchronous
n010_009.bnet,random_mc,0.0,0.31170907196873465,256,2,asynchronous
n010_009.bnet,random_mc,1.0,0.31221391318662844,256,2,asynchronous
n010_009.bnet,random_mc,2.0,0.3120877320426517,256,2,asynchronous
n010_009.bnet,random_mc,3.0,0.3121102554457943,256,2,asynchronous
n010_009.bnet,random_mc,4.0,0.312039201450048,256,2,asynchronous
n010_009.bnet,random_mc,5.0,0.31158838594083815,256,2,asynchronous
n010_009.bnet,random_mc,6.0,0.31249174435296084,256,2,asynchronous
n010_009.bnet,random_mc,7.0,0.3121617674453039,256,2,asynchronous
n010_009.bnet,random_mc,8.0,0.3123787982444195,256,2,asynchronous
n010_009.bnet,random_mc,9.0,0.3121036828763176,256,2,asynchronous
n010_009.bnet,random_mc,10.0,0.3117382168828842,256,2,asynchronous
n010_009.bnet,random_mc,11.0,0.31208673332083736,256,2,asynchronous
n010_009.bnet,random_mc,12.0,0.3120486845728532,256,2,asynchronous
n010_009.bnet,random_mc,13.0,0.31197167576339624,256,2,asynchronous
n010_009.bnet,random_mc,14.0,0.3120986429168779,256,2,asynchronous
n010_009.bnet,random_mc,15.0,0.3111197764802161,256,2,asynchronous
n010_009.bnet,random_mc,16.0,0.3120913146514489,256,2,asynchronous
n010_009.bnet,random_mc,17.0,0.312248480371772,256,2,asynchronous
n010_009.bnet,random_mc,18.0,0.3120795465307087,256,2,asynchronous
n010_009.bnet,random_mc,19.0,0.3121258931024892,256,2,asynchronous
n010_009.bnet,random_mc,20.0,0.3117377426362347,256,2,asynchronous
n010_009.bnet,random_mc,21.0,0.31207912369330243,256,2,asynchronous
n010_009.bnet,random_mc,22.0,0.31230953119975546,256,2,asynchronous
n010_009.bnet,random_mc,23.0,0.3120628396441218,256,2,asynchronous
n010_009.bnet,random_mc,24.0,0.31256001003965567,256,2,asynchronous
n010_009.bnet,random_mc,25.0,0.31216065165359735,256,2,asynchronous
n010_009.bnet,random_mc,26.0,0.31259761717218243,256,2,asynchronous
n010_009.bnet,random_mc,27.0,0.31190562629479623,256,2,asynchronous
n010_009.bnet,random_mc,28.0,0.3119496157080563,256,2,asynchronous
n010_009.bnet,random_mc,29.0,0.31241990079254855,256,2,asynchronous
n010_011.bnet,sd_mc,,0.05011519695566268,512,3,asynchronous
n010_011.bnet,null_mc,,0.2872072308354224,512,3,asynchronous
n010_011.bnet,ref,,0.3014875328591959,512,3,asynchronous
n010_011.bnet,random_mc,0.0,0.2848354292718597,512,3,asynchronous
n010_011.bnet,random_mc,1.0,0.28650263133719023,512,3,asynchronous
n010_011.bnet,random_mc,2.0,0.2895514522296541,512,3,asynchronous
n010_011.bnet,random_mc,3.0,0.2852740134037031,512,3,asynchronous
n010_011.bnet,random_mc,4.0,0.28559228673335396,512,3,asynchronous
n010_011.bnet,random_mc,5.0,0.28803090210116716,512,3,asynchronous
n010_011.bnet,random_mc,6.0,0.2876226416972053,512,3,asynchronous
n010_011.bnet,random_mc,7.0,0.28386377583074385,512,3,asynchronous
n010_011.bnet,random_mc,8.0,0.2835089385986506,512,3,asynchronous
n010_011.bnet,random_mc,9.0,0.2884090389626264,512,3,asynchronous
n010_011.bnet,random_mc,10.0,0.2886702272525569,512,3,asynchronous
n010_011.bnet,random_mc,11.0,0.28689689992517486,512,3,asynchronous
n010_011.bnet,random_mc,12.0,0.28684973209887143,512,3,asynchronous
n010_011.bnet,random_mc,13.0,0.28661691761894786,512,3,asynchronous
n010_011.bnet,random_mc,14.0,0.2848553850145744,512,3,asynchronous
n010_011.bnet,random_mc,15.0,0.2860609900516274,512,3,asynchronous
n010_011.bnet,random_mc,16.0,0.2844855901477488,512,3,asynchronous
n010_011.bnet,random_mc,17.0,0.286782399914033,512,3,asynchronous
n010_011.bnet,random_mc,18.0,0.28061260705155094,512,3,asynchronous
n010_011.bnet,random_mc,19.0,0.28929631623373153,512,3,asynchronous
n010_011.bnet,random_mc,20.0,0.28808963860868353,512,3,asynchronous
n010_011.bnet,random_mc,21.0,0.2877557658757448,512,3,asynchronous
n010_011.bnet,random_mc,22.0,0.2864980743367311,512,3,asynchronous
n010_011.bnet,random_mc,23.0,0.28499399444871965,512,3,asynchronous
n010_011.bnet,random_mc,24.0,0.2842581649077748,512,3,asynchronous
n010_011.bnet,random_mc,25.0,0.28645723100041476,512,3,asynchronous
n010_011.bnet,random_mc,26.0,0.28397780831615044,512,3,asynchronous
n010_011.bnet,random_mc,27.0,0.2857248732385137,512,3,asynchronous
n010_011.bnet,random_mc,28.0,0.2881139707540406,512,3,asynchronous
n010_011.bnet,random_mc,29.0,0.2899555667903104,512,3,asynchronous
n010_013.bnet,sd_mc,,0.0018042195912175742,16,3,asynchronous
n010_013.bnet,null_mc,,0.1260938468091326,16,3,asynchronous
n010_013.bnet,ref,,0.27848759136030937,16,3,asynchronous
n010_013.bnet,random_mc,0.0,0.10837942609844772,16,3,asynchronous
n010_013.bnet,random_mc,1.0,0.09707779684834214,16,3,asynchronous
n010_013.bnet,random_mc,2.0,0.16834377828987232,16,3,asynchronous
n010_013.bnet,random_mc,3.0,0.13447448122118413,16,3,asynchronous
n010_013.bnet,random_mc,4.0,0.14237743731380764,16,3,asynchronous
n010_013.bnet,random_mc,5.0,0.07074519639169859,16,3,asynchronous
n010_013.bnet,random_mc,6.0,0.11607356501889708,16,3,asynchronous
n010_013.bnet,random_mc,7.0,0.1475847664447948,16,3,asynchronous
n010_013.bnet,random_mc,8.0,0.12513943116437304,16,3,asynchronous
n010_013.bnet,random_mc,9.0,0.15043224275162995,16,3,asynchronous
n010_013.bnet,random_mc,10.0,0.11645255650549997,16,3,asynchronous
n010_013.bnet,random_mc,11.0,0.11344827951033308,16,3,asynchronous
n010_013.bnet,random_mc,12.0,0.13470150858189747,16,3,asynchronous
n010_013.bnet,random_mc,13.0,0.08421369290114654,16,3,asynchronous
n010_013.bnet,random_mc,14.0,0.12496705040011095,16,3,asynchronous
n010_013.bnet,random_mc,15.0,0.13588223752988646,16,3,asynchronous
n010_013.bnet,random_mc,16.0,0.06555676015548154,16,3,asynchronous
n010_013.bnet,random_mc,17.0,0.14483649410210436,16,3,asynchronous
n010_013.bnet,random_mc,18.0,0.1344139289609833,16,3,asynchronous
n010_013.bnet,random_mc,19.0,0.1312988398515208,16,3,asynchronous
n010_013.bnet,random_mc,20.0,0.09813634511512433,16,3,asynchronous
n010_013.bnet,random_mc,21.0,0.13852255507277106,16,3,asynchronous
n010_013.bnet,random_mc,22.0,0.03823072771563032,16,3,asynchronous
n010_013.bnet,random_mc,23.0,0.1411768492982393,16,3,asynchronous
n010_013.bnet,random_mc,24.0,0.13568204904470976,16,3,asynchronous
n010_013.bnet,random_mc,25.0,0.12155908574896818,16,3,asynchronous
